Ciudad,Fecha,Hora,Actividad,Dirección,Maps
Bilbao,Dia 4 / Mie 7/5,9:00 a 10:00,Traslado a Logos,-,-
Bilbao,Dia 4 / Mie 7/5,10:00 a 13:00,Logos,"Polígono Elbarrena, s/n. Apdo. 23. 20247 Zaldibia, Gipuzkoa. Spain",https://maps.app.goo.gl/kaGRwFprsorNDsLM7
Bilbao,Dia 4 / Mie 7/5,13:00 a 14:30,Traslado y Almuerzo con NER,"Berjaldegi Enparantza Plaza, 20216 Ormaiztegi, Gipuzkoa, Spain",https://maps.app.goo.gl/AgzsmC13aEoHqsDcA
Bilbao,Dia 4 / Mie 7/5,14:30 a 15:30,Traslado a San Sebastian,-,-
Bilbao,Dia 4 / Mie 7/5,15:30 a 19:00,Caminata por San Sebastian / Charla sociocracia,-,-
Bilbao,Dia 4 / Mie 7/5,19:00 a 20:00,Restaurant TBD,-,-
Bilbao,Dia 4 / Mie 7/5,20:00,Traslado a Bilbao,-,-
Bilbao,Dia 5 / Jue 8/5,8:30 a 10:00,Desayuno con Josera,,TBD
Bilbao,Dia 5 / Jue 8/5,10:30 a 11:00,Charla con David en Sala del Museo,"Abandoibarra Etorb., 2, Abando, 48009 Bilbo, Bizkaia, España",https://goo.gl/maps/BG47FgjKb7rY4C197
Bilbao,Dia 5 / Jue 8/5,11:00 a 13:00,Visita Museo Guggenheim con Lucia,"Abandoibarra Etorb., 2, Abando, 48009 Bilbo, Bizkaia, España",https://goo.gl/maps/BG47FgjKb7rY4C197
Bilbao,Dia 5 / Jue 8/5,13:00 a 14:00,Almuerzo,,TBD
Bilbao,Dia 5 / Jue 8/5,14:00 a 16:30,Caminata por fuera del museo con concepto,"Abandoibarra Etorb., 2, Abando, 48009 Bilbo, Bizkaia, España",https://goo.gl/maps/BG47FgjKb7rY4C197
Bilbao,Dia 5 / Jue 8/5,16:30 a 17:00,Cierre en las esculturas de Serra,"Abandoibarra Etorb., 2, Abando, 48009 Bilbo, Bizkaia, España",https://goo.gl/maps/BG47FgjKb7rY4C197
Bilbao,Dia 5 / Jue 8/5,17:00 a 18:00,(Opt) Traslado a aeropuerto,-,-
Bilbao,Dia 5 / Jue 8/5,19:50,(Opt) Salida a Barcelona - Vuelo VY 1437,-,-
Barcelona,Dia 6 / Vie 9/5,09:00 a 11:00,Voxel,"Av. Diagonal, 67, Sant Martí, 08019 Barcelona, España",https://goo.gl/maps/JotMa3RknixhS3tH9
Barcelona,Dia 6 / Vie 9/5,12:00 a 14:00,Basetis,"La Pedrera - Casa Milà, Casa Milà, Pg. de Gràcia, 92, 1r 2a, Eixample, 08008 Barcelona, Spain",https://maps.app.goo.gl/15pzcuAsrksDnFReA
Barcelona,Dia 6 / Vie 9/5,14:00 a 17:00,RunRoom,"Carrer de Santa Eulàlia, 5-9, 3ª planta, Gràcia, 08012 Barcelona, España",https://goo.gl/maps/y2ky94UcfUzRoaJV8
Barcelona,Dia 6 / Vie 9/5,17:00 a 18:00,Sagrada Familia,"Eixample, Barcelona, España",https://maps.app.goo.gl/AxVYYktaX9ttBivC8
Barcelona,Dia 6 / Vie 9/5,18:00 a 18:30,Traslado a Castells,,
Barcelona,Dia 6 / Vie 9/5,19:00 a 22:00,Castells + cena,,
Barcelona,Dia 7 / Sab 10/5,10:00 a 13:00,Sesion con Lisa e Ingrid,?,?
Barcelona,Dia 7 / Sab 10/5,13:00 a 14:00,Restaurant TBD,-,-
Barcelona,Dia 7 / Sab 10/5,14:00 a 15:00,Translado a la playa,-,-
Barcelona,Dia 7 / Sab 10/5,15:00 a 18:30,Cierre en la playa,-,-
Barcelona,Dia 7 / Sab 10/5,18:30 a 19:00,Restaurant TBD,-,-
Barcelona,Dia 7 / Sab 10/5,19:00,Coctel de cierre,Xiringuito,?
